offense_charge_desc,offense_freq_count
PAY STATION RECEIPT NOT DISPLAYED,892013
EXPIRED PAY STATION RECEIPT,732605
SPEEDING-STATE HIGHWAYS,486576
NO DRIVERS LICENSE,372339
SPEEDING - POSTED CITY STREET,345162
FAILED TO MAINTAIN FINANCIAL RESPONSIBILITY,337672
PARKING - EXPIRED METER,310816
SPEEDING - STATE HIGHWAY,287570
FAIL TO MAINTAIN FINANCIAL RESP,260662
TOW AWAY ZONE NO PARKING AREA,238168
Ran Red Light - Photo,224213
EXPIRED REGISTRATION TTC:502.407,190433
RAN RED LIGHT,157783
EXPIRED INSPECTION STICKER,141525
PARKING - TOW AWAY ZONE,111993
EXPIRED REGISTRATION,96945
SPEEDING - SCHOOL ZONE,92559
RAN STOP SIGN,89296
INSPECTION STICKER - EXPIRED,86344
NO SEAT BELT-DRIVER/PASSENGER,83008
TOW AWAY COMM SERVICE ZONE (NO MARK,81110
TOW AWAY ZONE TAXICAB STAND,80947
POSSESSION OF DRUG PARAPHERNALIA,78056
PUBLIC INTOXICATION,77684
LEFT WHEEL TO CURB,75124
DRIVING WHILE LICENSE INVALID - suspended,67724
PARKING - NO PARKING AREA,61325
PARKING W/IN 15FTFIRE PLUG,56922
FAILED TO MAINTAIN ASSURED CLEAR DISTANCE - COLLISION,51987
TOW AWAY ZONE RESIDENTIAL PARKING,48808
DRIVING WHILE LICENSE INVALID - SUSPENDED,48070
THEFT C - LESS THAN $50,45875
UNSAFE MOVEMENT LEFT/RIGHT,45673
SPEEDING - 30 MPH,45405
SPEEDING - 30 MPH ZONE,43128
SPEEDING - STATE HIGHWAYS - Less than 10% over limit,42257
TOW AWAY COMM SERVICE ZONE (NO MARKINGS),39445
EXPIRED INSPECTION STICKER VIOLATION,37274
PARKING - LEFT WHEEL TO CURB,34806
TOW AWAY CUSTOMER SERVICE ZONE (OVE,32686
PAY STATION RECEIPT INCORRECTLY DIS,31465
FTMACD - FAILURE TO MAINTAIN ASSURED CLEAR DISTANCE - COLLISION,31420
WITHIN 30FT OF A STOP SIGN,30718
PARKING - OTHER,27944
FAILURE TO SIGNAL INTENT TO CHANGE LANES,25594
CROSSING PHYSICAL BARRIER,25120
Duplicate Violation,24389
FAILURE TO MAINTAIN ASSURED CLEAR DIST,24138
SCHOOL ZONE - WIRELESS DEVICE USE,23491
PARKING - IN A FIRE ZONE,23100
PEDESTRIAN IN ROADWAY CITY ORD,22173
TOW AWAY TIME ZONE (UNMETERED) 2 HR,21778
PARKING - BACK- IN ANGLE ONLY,21741
PAY STATION RECEIPT INCORRECTLY DISPLAYED,21385
UNREGISTERED MOTOR VEHICLE,20847
PARKING-OTHER-RESIDENT ONLY ZONE,19191
CURFEW - DAYTIME,18666
PARKING - WITHIN 15' OF A FIRE PLUG,18417
Parking - Pay Station Receipt Not Displayed,18020
EXPIRED OPERATORS LICENSE,17057
OPEN CONTAINER-MOTOR VEHICLE PC 49.031,17011
FAILED TO DISPLAY DRIVERS LICENSE,16903
SPEEDING - STATE WORK ZONE - NO WORKERS,16589
"""POSTED SIGN - NO LEFT",16463
NO PARKING AREA,16160
PARKING IN DISABLED SPACE,16119
SIDEWALK AREA,16065
RGHT WY(BTWN CRB/PROP LINE),15619
RAN FLASHING RED LIGHT,15278
FAILED TO CHANGE NAME/ADDRESS ON DL,14904
ALCOHOL AT PARK,14681
PEDESTRIAN CROSSING MIDBLOCK,14573
VIOLATION OF PROMISE TO APPEAR,14369
FAILURE TO YIELD FROM PRIVATE DRIVE,13711
NO LEFT / RIGHT / STRAIGHT TRAFFIC - POSTED SIGN,13406
PASSING AUTHORIZED EMERGENCY VEHICLE,13048
PARKING - PUBLIC PARK,12948
NO RIGHT/LEFT ON RED,12475
EXPIRED DRIVER LICENSE - OPERATOR (NON-COMMERCIAL),12261
CAMPING IN A PUBLIC AREA,12144
FAILED TO YIELD FROM PRIVATE DRIVE OR ALLEY,11793
FAILURE TO YIELD - LEFT TURN INTERSECTION,11701
FAILED TO DISPLAY DRIVER LICENSE,11626
Parking - In a Front or Side Yard,11475
FAILED TO YIELD - LEFT TURN INTERSECTION,11332
TOW AWAY TIME ZONE (UNMETERED) 2 HR PARKING,10960
Speeding - State Work Zone - Workers,10956
FAILED TO SIGNAL INTENT TO CHANGE LANES,10771
DISREGARDED POSTED SIGN,10528
PARENT CONTRIBUTING TO NONATTENDANCE,10479
PARKING - SIDEWALK AREA,9918
PARKING - IN HANDICAPPED SPACE,9809
Parking - Expired Pay Station Receipt,9783
PARKING - WITHIN 30' OF A STOP SIGN,9631
PEDESTRIAN WALKING AGAINST LIGHT,9492
POSTED SIGN - NO LEFT TURN,9441
UNSAFE LANE CHANGE,9239
DOUBLE PARKED,9106
SPEEDING IN URBAN DISTRICT,9043
SPEEDING-POSTED-CITY STREET,8816
COMM SERVICE ZN(NO MARKNGS),8811
TOW AWAY COMM SERVICE ZONE (NO MA,8690
FAIL TO MAINTAIN FINANCIAL RESP 2ND CONV,8532
PARK CURFEW VIOLATION,8237
FAILED TO MAINTAIN FINANCIAL RESP 2ND CONV,8180
WRONG WAY ONE-WAY STREET,8060
NO INSPECTION STICKER/FAIL TO DISPLAY,7986
SOLICITATION BY PEDESTRIAN IN ROADWAY,7972
NO SEAT BELT - CHILD UNDER 8,7860
PEDESTRIAN ON ROADWAY-WALKING,7793
TOW AWAY CUSTOMER SERVICE ZONE (OVER 15 MIN),7735
FAILURE TO OBTAIN TX DRIVERS LICENSE,7235
FAILED TO SIGNAL INTENT TO TURN,7173
NO LEFT TURN - POSTED SIGN,7086
MISDEMEANOR THEFT C - LESS THAN $50,7048
STEREO AMPLIFICATION -VEHICLE (12-22-03),6966
PARKED FACING TRAFFIC,6908
CROSSING PROPERTY TO TURN RIGHT OR LEFT,6866
DISORDERLY CONDUCT-FIGHTING,6797
TOW AWAY ZONE PERMIT PARKING (METER HOOD/BAG),6765
BLOCKING DRIVEWAY,6720
OVER 18IN FROM CURB,6679
NO RIGHT/LEFT ON RED LIGHT,6665
FAILED TO OBTAIN TX DRIVERS LICENSE,6487
PAY STATION RECEIPT INCORRECTLY D,6295
SOLICITATION - AGGRESSIVE,6221
DRIVING ON IMPROVED RIGHT SHOULDER,6140
NO SAFETY SEAT - CHILD UNDER 5,6129
ANIMAL - AT LARGE,6120
ALCOHOL - MINOR IN POSSESSION,6108
PARKING IN DISABLED SPACE (1ST OFFE,6090
PARKING - BLOCKING DRIVEWAY,6064
